id,createTime,diggCount,shareCount,playCount,commentCount,hashtag_foryoupage,hashtag_fyp
6886117069851479297,1603299072,2187,6,34900,27,False,True
6886117069851479297,1603299072,2187,6,34900,27,False,False
6879192624402582790,1601686879,311800,21300,2200000,1344,True,False
6879192624402582790,1601686879,311800,21300,2200000,1344,False,True
6893922308096937222,1605116417,8501,46,79600,60,True,False
6893922308096937222,1605116417,8501,46,79600,60,False,True
6893922308096937222,1605116417,8501,46,79600,60,False,False
6906504850712907009,1608045972,2489,22,11000,29,True,False
6906504850712907009,1608045972,2489,22,11000,29,False,False
6905464131097332997,1607803677,1443,4,34500,52,False,True
6907491921220947205,1608275867,5715,70,54800,114,False,True
6883622094190497025,1602718174,5559,8,62700,41,False,True
6879452591953153282,1601747377,48700,179,154600,970,False,True
6885246252078910722,1603096320,11900,87,3400000,52,False,True
6885246252078910722,1603096320,11900,87,3400000,52,True,False
6879769716567657730,1601821213,83700,1890,1200000,1501,False,False
6889412974012943618,1604066459,15400,5230,818700,372,False,False
6907668397484559617,1608316881,2445,120,32600,183,True,False
6899729878560656641,1606468551,8243,223,30500,315,False,True
6899729878560656641,1606468551,8243,223,30500,315,True,False
6900566632859585793,1606663373,74300,610,622700,1440,False,True
6900566632859585793,1606663373,74300,610,622700,1440,True,False
6901723835310116101,1606932849,5021,29,62000,549,False,False
6904422505843363077,1607561159,28100,206,178400,488,False,True
6904422505843363077,1607561159,28100,206,178400,488,True,False
6889521523833474305,1604091733,50900,1968,914000,300,False,True
6889521523833474305,1604091733,50900,1968,914000,300,False,False
6892711484695121153,1604834453,12800,287,172200,520,False,True
6899489414460837121,1606412563,2266,12,41800,25,False,True
6899489414460837121,1606412563,2266,12,41800,25,True,False
6899489414460837121,1606412563,2266,12,41800,25,False,False
6907971568165604610,1608387468,3900000,164700,29900000,61200,False,True
6905755896115236098,1607871592,4739,13,116600,56,True,False
6896497936558001410,1605716055,35600,1247,360800,419,False,True
6878796954650889473,1601594727,43400,539,152400,702,False,True
6878590867968380162,1601546741,33000,80,327900,156,False,False
6878590867968380162,1601546741,33000,80,327900,156,False,True
6882735576160783617,1602511756,48300,559,747400,1252,False,True
6882735576160783617,1602511756,48300,559,747400,1252,False,False
6879809686552530178,1601830519,12000,269,170500,942,False,False
6904066579655396610,1607478269,2698,134,48600,185,False,False
